id,name,email,age,salary,department
54,Kate,kate54@test.com,29,77721,Engineering
55,Victor,victor55@test.com,59,54589,Finance
56,Noah,noah56@test.com,56,68706,Engineering
This is not a valid CSV line at all!
58,"User58 "Special Name",user58@test.com,25,50000,Engineering
59,Quinn,quinn59@test.com,49,92098,Operations
60,Peter,peter60@test.com,26,71655,Engineering
61,Rachel,rachel61@test.com,22,82074,Marketing
62,Tara,tara62@test.com,31,79154,Sales
63,Wendy,wendy63@test.com,32,89231,Finance
64,Drew,drew64@test.com,45,41131,HR
65,Drew,drew65@test.com,28,79332,HR
66,Charlie,charlie66@test.com,31,78731,Sales
67,Grace,grace67@test.com,30,44864,Sales
68,Ivy,ivy68@test.com,58,63135,Sales
69,User69™,user69@test.com,25,50000,Engineering
70,Eve,eve70@test.com,24,76866,Marketing
71,Bob,bob71@test.com,64,43418,Sales
72,Peter,peter72@test.com,65,44786,HR
73,Peter,peter73@test.com,45,74219,Finance
74,User74,user74@test.com,25,50000,Engineering,Extra Field
75,Liam,liam75@test.com,46,50125,Operations
This is not a valid CSV line at all!
77,Olivia,olivia77@test.com,38,75448,Engineering
78,Maya,maya78@test.com,47,46961,Engineering
79,Wendy,wendy79@test.com,33,99317,HR
80,Zoe,zoe80@test.com,30,87239,Engineering
81,Uma,uma81@test.com,36,43902,HR
82,Sam,sam82@test.com,45,44812,HR
83,Kate,kate83@test.com,53,84156,Engineering
84,Frank,frank84@test.com,29,47725,Finance
85,Noah,noah85@test.com,25,94490,Operations
86,Charlie,charlie86@test.com,56,45365,Engineering
87,"User87 "Special Name",user87@test.com,25,50000,Engineering
88,Victor,victor88@test.com,30,96588,Operations
89,Wendy,wendy89@test.com,63,91112,Sales
90,Blake,blake90@test.com,65,80277,Finance
91,Drew,drew91@test.com,36,52823,Engineering
92,User92™,user92@test.com,25,50000,Engineering
93,Frank,frank93@test.com,42,63407,Finance
94,Blake,blake94@test.com,54,90396,HR
This is not a valid CSV line at all!
96,Sam,sam96@test.com,30,43903,HR
97,Zoe,zoe97@test.com,31,54494,Engineering
98,Zoe,zoe98@test.com,40,93476,Operations
99,Kate,kate99@test.com,60,68211,Finance
100,User100 invalid_email@domain,25,50000,Engineering
101,Victor,victor101@test.com,54,85948,Finance
102,Blake,blake102@test.com,28,95431,Engineering
103,Casey,casey103@test.com,59,86130,HR
104,Uma,uma104@test.com,28,77402,HR
105,Blake,blake105@test.com,57,43172,Marketing
106,Liam,liam106@test.com,23,62529,Sales
107,Charlie,charlie107@test.com,26,49239,Engineering
108,Alex,alex108@test.com,35,91944,HR
109,Alice,alice109@test.com,55,48024,HR
110,Zoe,zoe110@test.com,39,90854,Engineering
111,User111,user111@test.com,25,50000,Engineering,Extra Field
112,Wendy,wendy112@test.com,57,90376,Engineering
113,Ivy,ivy113@test.com,38,88965,HR
This is not a valid CSV line at all!
115,User115™,user115@test.com,25,50000,Engineering
116,"User116 "Special Name",user116@test.com,25,50000,Engineering
117,Alex,alex117@test.com,24,97438,Finance
118,Wendy,wendy118@test.com,26,85337,Finance
119,Peter,peter119@test.com,28,56820,Engineering
120,Zoe,zoe120@test.com,57,95101,Sales
121,Ivy,ivy121@test.com,49,76957,Marketing
122,Ivy,ivy122@test.com,39,77095,Marketing
123,Alice,alice123@test.com,47,40757,Finance
124,Victor,victor124@test.com,43,94305,Finance
125,Bob,bob125@test.com,48,94243,Sales
126,Wendy,wendy126@test.com,51,57188,Marketing
127,Maya,maya127@test.com,49,78936,Finance
128,Henry,henry128@test.com,65,80516,Operations
129,Rachel,rachel129@test.com,44,77453,Operations
130,Bob,bob130@test.com,53,56901,Sales
131,Tara,tara131@test.com,39,45123,Marketing
132,Eve,eve132@test.com,64,80544,Operations
This is not a valid CSV line at all!
134,Alice,alice134@test.com,40,80651,Marketing
135,Olivia,olivia135@test.com,63,69036,HR
136,Frank,frank136@test.com,42,95572,Sales
137,Victor,victor137@test.com,62,74973,Marketing
138,User138™,user138@test.com,25,50000,Engineering
139,Olivia,olivia139@test.com,47,89332,HR
140,Tara,tara140@test.com,27,97549,Finance
141,Zoe,zoe141@test.com,44,52795,Engineering
142,Diana,diana142@test.com,47,96143,Marketing
143,Peter,peter143@test.com,30,74369,Operations
144,Maya,maya144@test.com,29,70763,Marketing
145,"User145 "Special Name",user145@test.com,25,50000,Engineering
146,Victor,victor146@test.com,46,98336,Finance
147,Kate,kate147@test.com,59,99417,Engineering
148,User148,user148@test.com,25,50000,Engineering,Extra Field
149,Eve,eve149@test.com,65,65389,Sales
150,User150 invalid_email@domain,25,50000,Engineering
151,Tara,tara151@test.com,50,65433,Engineering
This is not a valid CSV line at all!
153,Diana,diana153@test.com,46,65358,Sales
154,Yara,yara154@test.com,56,66150,HR
155,Alice,alice155@test.com,34,60214,Finance
156,Quinn,quinn156@test.com,30,57699,HR
157,Casey,casey157@test.com,57,78960,Operations
158,Zoe,zoe158@test.com,65,67070,HR
159,Uma,uma159@test.com,24,48187,HR
160,Liam,liam160@test.com,46,50315,HR
161,User161™,user161@test.com,25,50000,Engineering
162,Xander,xander162@test.com,53,93839,Operations
163,Jack,jack163@test.com,24,50363,Engineering
164,Casey,casey164@test.com,45,93861,HR
165,Eve,eve165@test.com,35,45684,Operations
166,Eve,eve166@test.com,42,49696,Marketing
167,Frank,frank167@test.com,34,62295,Sales
168,Kate,kate168@test.com,46,94469,Engineering
169,Alice,alice169@test.com,55,61038,Operations
170,Alex,alex170@test.com,55,94898,Finance
This is not a valid CSV line at all!
172,Jack,jack172@test.com,60,65590,Engineering
173,Olivia,olivia173@test.com,33,47077,Marketing
174,"User174 "Special Name",user174@test.com,25,50000,Engineering
175,Blake,blake175@test.com,25,62248,Sales
176,Alice,alice176@test.com,62,63591,Operations
177,Casey,casey177@test.com,36,61656,Sales
178,Yara,yara178@test.com,27,52348,Operations
179,Diana,diana179@test.com,54,57838,Marketing
180,Drew,drew180@test.com,48,41091,Marketing
181,Tara,tara181@test.com,61,55069,Marketing
182,Victor,victor182@test.com,31,55872,Sales
183,Eve,eve183@test.com,29,40434,Finance
184,User184™,user184@test.com,25,50000,Engineering
185,User185,user185@test.com,25,50000,Engineering,Extra Field
186,Charlie,charlie186@test.com,31,97552,Finance
187,Ivy,ivy187@test.com,38,98268,Operations
188,Henry,henry188@test.com,28,91958,Marketing
189,Drew,drew189@test.com,63,92349,Engineering
This is not a valid CSV line at all!
191,Ivy,ivy191@test.com,23,92916,Finance
192,Drew,drew192@test.com,53,73554,Sales
193,Ivy,ivy193@test.com,34,84624,Operations
194,Olivia,olivia194@test.com,52,78780,Finance
195,Eve,eve195@test.com,41,42957,Sales
196,Diana,diana196@test.com,29,67989,Finance
197,Eve,eve197@test.com,36,46077,Sales
198,Peter,peter198@test.com,61,77083,Operations
199,Casey,casey199@test.com,55,45295,Finance
200,User200 invalid_email@domain,25,50000,Engineering
